name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
private room,173340690,Westerpark,52.37588,4.87486,Private Room,223.0,2,133,2025-06-01,1.68,2,74,10,31.0,$201-500,2.973333333333333,False,5.4116460518550396
Spacious 4p canal apartment in perfect location,34756737,Centrum-West,52.37468,4.87818,Private Room,550.0,2,285,2025-05-11,3.37,1,269,16,52.0,$500+,2.037037037037037,True,6.311734809152915
Private apartment in West (Baarsjes),19979247,De Baarsjes - Oud-West,52.3665,4.85041,Entire Home,223.0,3,15,2024-05-30,0.18,1,0,0,398.0,$201-500,223.0,False,5.4116460518550396
"Beautiful, spacious and light parkside apartment",3678527,De Baarsjes - Oud-West,52.36647,4.85042,Entire Home,223.0,2,14,2023-04-23,0.17,1,0,0,801.0,$201-500,223.0,False,5.4116460518550396
"Urban oasis, Amsterdam meets city beach",14089543,Geuzenveld - Slotermeer,52.37392,4.82181,Entire Home,228.0,12,18,2025-05-05,0.21,1,19,4,58.0,$201-500,11.4,False,5.43372200355424
Inspiring apartment in downtown Amsterdam,194017705,Centrum-Oost,52.36393,4.88797,Entire Home,300.0,4,56,2025-06-07,0.66,1,7,11,25.0,$201-500,37.5,False,5.707110264748875
Beautiful renovated apartment,171916928,De Baarsjes - Oud-West,52.36004389,4.860345805,Entire Home,300.0,3,21,2025-06-04,0.9,1,177,9,28.0,$201-500,1.6853932584269662,False,5.707110264748875
"Amsterdam, Tiny House with incredibe view",109026153,Noord-Oost,52.3776,4.98666,Entire Home,223.0,2,58,2023-04-23,0.68,1,0,0,801.0,$201-500,223.0,False,5.4116460518550396
Creative apartment along the canals,1209324,Centrum-Oost,52.36084084,4.887649106,Entire Home,285.0,2,10,2025-01-02,0.41,1,65,4,181.0,$201-500,4.318181818181818,False,5.655991810819852
Captains Logde / privé studio houseboat,194150204,IJburg - Zeeburgereiland,52.35931,4.98881,Entire Home,126.0,2,103,2025-06-09,1.42,1,70,18,23.0,$101 -200,1.7746478873239437,False,4.844187086458591
Stunning houseboat in center of Amsterdam,194622709,Centrum-Oost,52.36169,4.90545,Entire Home,284.0,3,142,2025-03-29,1.68,3,165,23,95.0,$201-500,1.7108433734939759,False,5.652489180268651
Quiet room + bicycles near centre Amsterdam,193907625,De Baarsjes - Oud-West,52.36827,4.86519,Private Room,142.0,5,267,2025-05-28,3.13,1,27,33,35.0,$101 -200,5.071428571428571,False,4.962844630259907
Catburger House,83244930,Centrum-Oost,52.36938,4.916,Entire Home,223.0,2,10,2023-12-18,0.12,1,0,0,562.0,$201-500,223.0,False,5.4116460518550396
Spacious 2 bedroom apartment in Old West Amsterdam,26313050,De Baarsjes - Oud-West,52.37061,4.8701,Entire Home,223.0,2,32,2023-07-30,0.38,1,0,0,703.0,$201-500,223.0,False,5.4116460518550396
CASA KAREN - Houseboat studio & terrace in hip nor,195137399,Oud-Noord,52.40127,4.90172,Private Room,134.0,2,209,2025-06-10,2.45,1,316,52,22.0,$101 -200,0.4227129337539432,False,4.90527477843843
Beautiful Houseboat Amsterdam,195172702,Noord-Oost,52.381081,4.966337,Private Room,95.0,2,274,2025-06-12,3.26,1,124,50,20.0,$51-100,0.76,False,4.564348191467836
Luxurious apartment in the heart of the Jordaan,43909387,Centrum-West,52.37894,4.88327,Entire Home,223.0,3,36,2023-02-14,0.42,1,0,0,869.0,$201-500,223.0,False,5.4116460518550396
Family home steps from the Vondelpark,6840474,Zuid,52.35555,4.85095,Entire Home,223.0,4,5,2019-08-16,0.06,1,0,0,2147.0,$201-500,223.0,False,5.4116460518550396
Bright and modern apartment on top of De Hallen,13454643,De Baarsjes - Oud-West,52.36545,4.86689,Entire Home,223.0,2,18,2025-01-01,0.21,1,0,2,182.0,$201-500,223.0,False,5.4116460518550396
Studio Bosboom,195624094,De Baarsjes - Oud-West,52.36708172,4.87630201,Entire Home,155.0,3,303,2025-06-11,3.57,1,154,49,21.0,$101 -200,1.0,False,5.049856007249537
Beautiful and bright apartment in Amsterdam West,195639914,Bos en Lommer,52.37659,4.85362,Entire Home,223.0,2,10,2022-02-20,0.12,1,0,0,1228.0,$201-500,223.0,False,5.4116460518550396
Budgetroom met ontbijt inbegrepen,3219665,Bijlmer-Centrum,52.31818,4.95891,Private Room,58.0,1,521,2025-06-02,6.11,2,61,101,30.0,$51-100,0.9354838709677419,False,4.07753744390572
Beautiful relaxed apartment with canal view,2413010,Zuid,52.35415,4.85285,Entire Home,223.0,5,2,2022-07-31,0.02,1,0,0,1067.0,$201-500,223.0,False,5.4116460518550396
! Perfect Room Ams South (WTC/RAI) shared Bath/WC,9435259,Zuid,52.3452,4.86311,Private Room,64.0,7,28,2025-01-01,0.74,6,48,5,182.0,$51-100,1.3061224489795917,False,4.174387269895637
Houseboat With Beautiful View and Terrace,9799534,Centrum-Oost,52.37101,4.91701,Private Room,150.0,2,13,2024-10-13,0.18,1,45,10,262.0,$101 -200,3.260869565217391,False,5.017279836814924
COMPLETE NEW FAMILY HOUSE 10MIN FROM CITY CENTER,196007025,IJburg - Zeeburgereiland,52.37474,4.96548,Entire Home,223.0,2,34,2025-05-28,0.4,1,14,4,35.0,$201-500,14.866666666666667,False,5.4116460518550396
"Apartment in Amsterdam West, next to Westerpark",29396939,Westerpark,52.38588,4.87574,Entire Home,223.0,3,1,2020-09-22,0.02,1,0,0,1744.0,$201-500,223.0,False,5.4116460518550396
Houseboat close to the city centre of Amsterdam.,141677638,Buitenveldert - Zuidas,52.33466,4.84915,Entire Home,154.0,2,105,2025-06-05,1.26,5,286,13,27.0,$101 -200,0.5365853658536586,False,5.043425116919247
Silent & cosy apartment Amsterdam EAST,6522384,Oostelijk Havengebied - Indische Buurt,52.36399,4.93729,Entire Home,223.0,7,6,2022-07-01,0.07,1,0,0,1097.0,$201-500,223.0,False,5.4116460518550396
Stylish family home by Amstel close to centre.,4709660,Oud-Oost,52.35591,4.90813,Entire Home,223.0,2,3,2018-08-27,0.04,1,0,0,2501.0,$201-500,223.0,False,5.4116460518550396
Calm and cozy apartment - central Amsterdam,4063977,Westerpark,52.38635,4.88071,Entire Home,189.0,5,31,2025-05-13,0.37,1,33,4,50.0,$101 -200,5.5588235294117645,False,5.247024072160486
Private studio w/ tub - Centre!,744499,Centrum-West,52.38259,4.88534,Private Room,223.0,2,12,2020-08-03,0.14,2,0,0,1794.0,$201-500,223.0,False,5.4116460518550396
Grand-easy-going-friends&family house amsterdam!,16855496,Zuid,52.35268,4.86377,Entire Home,223.0,5,10,2023-05-25,0.12,1,0,0,769.0,$201-500,223.0,False,5.4116460518550396
Apartment with huge garden in Amsterdam,27776233,Bijlmer-Centrum,52.32061,4.94373,Entire Home,223.0,7,3,2019-08-05,0.04,1,0,0,2158.0,$201-500,223.0,False,5.4116460518550396
Spacious Apartment near public transport,52266860,De Baarsjes - Oud-West,52.37227249,4.859161854,Entire Home,223.0,1,3,2024-02-18,0.04,1,0,0,500.0,$201-500,223.0,False,5.4116460518550396
Spacious loft suited for a family on the canals,196626595,Centrum-Oost,52.36313,4.90641,Entire Home,375.0,6,12,2022-10-23,0.14,1,188,0,983.0,$201-500,1.9841269841269842,True,5.929589143389895
Family friendly apartment with big sunny garden,11514157,Buitenveldert - Zuidas,52.33318,4.87411,Entire Home,223.0,5,8,2019-08-20,0.1,1,0,0,2143.0,$201-500,223.0,False,5.4116460518550396
Lovely bright apt with garden in a trendy area,2940865,Watergraafsmeer,52.35312,4.9238,Entire Home,223.0,3,12,2023-07-28,0.14,1,0,0,705.0,$201-500,223.0,False,5.4116460518550396
Cozy groundfloor apt in heart of the Pijp w/ patio,2131813,De Pijp - Rivierenbuurt,52.35489,4.88946,Entire Home,223.0,3,12,2019-10-22,0.14,1,0,0,2080.0,$201-500,223.0,False,5.4116460518550396
Charming luxury apartment de Pijp,6129382,De Pijp - Rivierenbuurt,52.35472,4.88839,Entire Home,223.0,2,25,2023-10-25,0.3,1,0,0,616.0,$201-500,223.0,False,5.4116460518550396
Unique apartment in coolest area of Amsterdam!,2576800,Oud-Oost,52.36497,4.93101,Entire Home,144.0,3,30,2025-05-18,0.36,1,12,4,45.0,$101 -200,11.076923076923077,False,4.976733742420574
"Comfortable appartement in 
Centre Amsterdam",31332203,Westerpark,52.38275146,4.870800972,Entire Home,120.0,5,20,2024-08-24,0.24,1,26,5,312.0,$101 -200,4.444444444444445,False,4.795790545596741
Trendy design woning. 100m2 volledige woning.,18846307,IJburg - Zeeburgereiland,52.37375,4.96838,Entire Home,223.0,4,12,2020-01-02,0.14,1,0,0,2008.0,$201-500,223.0,False,5.4116460518550396
"Charming Apartment with Canal View, West-Side",50838355,De Baarsjes - Oud-West,52.36294,4.86702,Entire Home,223.0,3,23,2023-02-28,0.27,1,0,0,855.0,$201-500,223.0,False,5.4116460518550396
Luxurious apartment in the JORDAAN| CITY CENTRE,3592780,Centrum-West,52.38241,4.88165,Entire Home,220.0,4,21,2024-08-26,0.25,1,8,4,310.0,$201-500,24.444444444444443,False,5.3981627015177525
Easy Family house,15483825,Oud-Noord,52.3923,4.93214,Entire Home,214.0,5,12,2024-08-18,0.14,1,172,3,318.0,$201-500,1.2369942196531791,False,5.3706380281276624
Lovely 1 bedroom apartment with balcony,13033219,Oud-Oost,52.36013,4.92895,Entire Home,223.0,3,24,2025-06-01,0.29,1,0,3,31.0,$201-500,223.0,False,5.4116460518550396
"Bright, spacious & cosy apartment east of the city",82469779,Oostelijk Havengebied - Indische Buurt,52.36003,4.9345,Entire Home,223.0,3,18,2023-01-01,0.21,1,0,0,913.0,$201-500,223.0,False,5.4116460518550396
Classic APT in Classy South!,198392894,De Pijp - Rivierenbuurt,52.34488,4.90222,Entire Home,250.0,3,40,2025-05-22,0.48,1,7,6,41.0,$201-500,31.25,False,5.5254529391317835
Spacious apartment with private rooftop terras,18910593,De Baarsjes - Oud-West,52.36191,4.86602,Entire Home,223.0,3,5,2024-01-03,0.14,1,0,0,546.0,$201-500,223.0,False,5.4116460518550396
"Bright, Stylish, Cozy Familyhouse",4417000,Watergraafsmeer,52.35339,4.93679,Entire Home,376.0,3,21,2024-08-23,0.25,1,139,4,313.0,$201-500,2.6857142857142855,True,5.932245187448011
Dream attic apartment,527982,De Baarsjes - Oud-West,52.36706,4.87265,Entire Home,223.0,3,24,2025-01-19,0.29,1,0,5,164.0,$201-500,223.0,False,5.4116460518550396
"Loft Apartment, Independent near museums,central",41909018,Centrum-Oost,52.36241,4.88701,Private Room,116.0,3,49,2025-05-25,0.58,1,37,12,38.0,$101 -200,3.0526315789473686,False,4.762173934797756
Houseboat on Amstel river in De Pijp district,4125732,De Pijp - Rivierenbuurt,52.35289,4.90798,Private Room,169.0,2,142,2025-06-12,1.73,1,151,32,20.0,$101 -200,1.111842105263158,False,5.135798437050262
* Beautiful canalview Suite*,199450112,Centrum-West,52.36842,4.88223,Private Room,255.0,1,185,2025-05-09,2.19,2,30,20,54.0,$201-500,8.225806451612904,False,5.545177444479562
Modern apartment in trendy Amsterdam Old-West,37866198,De Baarsjes - Oud-West,52.3747,4.864,Entire Home,223.0,5,12,2025-03-24,0.14,1,0,2,100.0,$201-500,223.0,False,5.4116460518550396
"Green apartment, well connected to center",53155819,Bos en Lommer,52.38455,4.85246,Entire Home,223.0,3,4,2023-05-22,0.05,1,0,0,772.0,$201-500,223.0,False,5.4116460518550396
Sea side of Amsterdam,142672615,IJburg - Zeeburgereiland,52.3732,4.97148,Entire Home,223.0,1,14,2020-02-08,0.17,1,0,0,1971.0,$201-500,223.0,False,5.4116460518550396
Two bedroom studio near Vondelpark,4073717,Zuid,52.35024,4.84693,Entire Home,223.0,3,111,2025-06-15,1.34,2,0,16,17.0,$201-500,223.0,False,5.4116460518550396
Cosy apartment in Amsterdam-West,16911422,Bos en Lommer,52.37561,4.85081,Entire Home,223.0,2,2,2023-07-09,0.08,1,0,0,724.0,$201-500,223.0,False,5.4116460518550396
"Spacious New 4 floor Family Home, 184m2, Parking",199969719,Oud-Oost,52.35728,4.93247,Entire Home,503.0,5,16,2024-08-27,0.19,1,230,2,309.0,$500+,2.1774891774891776,True,6.222576268071369
Glamping at AmsterDome a rooftop with best views,7399322,De Pijp - Rivierenbuurt,52.35017,4.88996,Private Room,223.0,2,51,2025-05-13,0.61,2,0,17,50.0,$201-500,223.0,False,5.4116460518550396
Unique bright house with garden in Amsterdam,175413450,Oud-Oost,52.35281,4.91321,Entire Home,223.0,4,20,2025-04-01,0.24,1,0,2,92.0,$201-500,223.0,False,5.4116460518550396
Typical Amsterdam canal house with 3 bedrooms,12295544,Centrum-West,52.38057,4.89036,Entire Home,223.0,2,10,2023-07-08,0.29,2,0,0,725.0,$201-500,223.0,False,5.4116460518550396
"Colourful apartment, De Baarsjes",10378439,De Baarsjes - Oud-West,52.367739,4.852531,Entire Home,223.0,4,5,2025-05-05,0.22,1,5,2,58.0,$201-500,37.166666666666664,False,5.4116460518550396
Expansive living steps from the city’s heart,19335533,De Baarsjes - Oud-West,52.37015,4.85394,Entire Home,238.0,3,21,2022-10-04,0.25,1,56,0,1002.0,$201-500,4.175438596491228,False,5.476463551931511
Modern entire apartment Amsterdam,200854132,Slotervaart,52.35522,4.83567,Entire Home,223.0,3,39,2023-01-02,0.47,1,0,0,912.0,$201-500,223.0,False,5.4116460518550396
Cute stylish apt in `de Pijp area` close to all!,200986878,De Pijp - Rivierenbuurt,52.35665,4.88819,Entire Home,223.0,3,5,2020-03-13,0.06,1,0,0,1937.0,$201-500,223.0,False,5.4116460518550396
Canal Suite | City Centre,190253774,Centrum-Oost,52.3673,4.90155,Private Room,223.0,1,67,2025-01-11,0.83,2,235,3,172.0,$201-500,0.9449152542372882,False,5.4116460518550396
"Private entrance and bathroom, FREE parking!",4286813,Noord-West,52.41237,4.88696,Private Room,110.0,1,412,2025-06-05,4.89,1,348,59,27.0,$101 -200,0.3151862464183381,False,4.709530201312334
Luxurious house with garden in museum district,62630854,Zuid,52.35382,4.86792,Entire Home,223.0,3,12,2024-07-01,0.14,1,0,4,366.0,$201-500,223.0,False,5.4116460518550396
Bright home in green surroundings,28584016,Buitenveldert - Zuidas,52.32766,4.87296,Entire Home,223.0,2,11,2024-08-08,0.13,1,0,3,328.0,$201-500,223.0,False,5.4116460518550396
"Houseboat, B&B in the back stern (BK 53).",201376965,Centrum-Oost,52.36384,4.90131,Private Room,98.0,3,310,2025-06-11,3.69,1,233,62,21.0,$51-100,0.4188034188034188,False,4.59511985013459
Cosy and bright appartement close to city center,9945304,De Baarsjes - Oud-West,52.37387,4.86441,Entire Home,223.0,3,8,2020-08-01,0.1,1,0,0,1796.0,$201-500,223.0,False,5.4116460518550396
Stijlvol en Licht Appartement in Fijne Buurt,168686231,Oud-Oost,52.35751,4.91019,Entire Home,180.0,1,4,2024-09-08,0.36,1,13,4,297.0,$101 -200,12.857142857142858,False,5.198497031265826
Hermitage museum boat with amstel river vieuw,194622709,Centrum-Oost,52.36624,4.90245,Entire Home,499.0,4,29,2025-01-04,0.35,3,10,2,179.0,$201-500,45.36363636363637,True,6.214608098422191
Room with a view,6009703,Oud-Noord,52.3924,4.90881,Private Room,77.0,3,47,2025-06-01,0.57,1,63,7,31.0,$51-100,1.203125,False,4.356708826689592
Amsterdam art apartment in the middle of De Pijp,72771155,De Pijp - Rivierenbuurt,52.35361,4.90424,Entire Home,223.0,3,19,2023-06-04,0.23,1,0,0,759.0,$201-500,223.0,False,5.4116460518550396
New detached villa with gym and workplace (210 m2),62805884,Gaasperdam - Driemond,52.30787,5.01839,Entire Home,315.0,5,5,2024-04-29,0.06,1,21,0,429.0,$201-500,14.318181818181818,False,5.755742213586912
"3 bedroom family house 
Amsterdam, A-location",28011619,Oud-Noord,52.39905,4.92058,Entire Home,225.0,7,5,2024-05-04,0.13,1,13,0,424.0,$201-500,16.071428571428573,False,5.420534999272286
comfortable and bright appartment,202002922,Centrum-West,52.37096,4.87687,Entire Home,180.0,2,101,2025-05-18,1.23,1,4,14,45.0,$101 -200,36.0,False,5.198497031265826
Lovely Apartment near City Center with Balcony,21292422,De Baarsjes - Oud-West,52.37097,4.86825,Entire Home,223.0,3,12,2020-01-11,0.14,1,0,0,1999.0,$201-500,223.0,False,5.4116460518550396
Stylish & cosy apartment next to Vondelpark,27323708,De Baarsjes - Oud-West,52.36287,4.86486,Entire Home,223.0,3,13,2020-09-26,0.16,2,0,0,1740.0,$201-500,223.0,False,5.4116460518550396
Canalhouse 150m2 amazing view with private garden,202228575,Oud-Oost,52.36571,4.92649,Entire Home,471.0,2,84,2025-06-09,1.0,1,84,9,23.0,$201-500,5.541176470588235,True,6.156978985585555
Luxurious 3BR 100m2 apt near center of Amsterdam,199160098,De Pijp - Rivierenbuurt,52.3423,4.89716,Entire Home,223.0,6,15,2025-05-03,0.18,1,117,1,60.0,$201-500,1.8898305084745763,False,5.4116460518550396
Apartment in Amsterdam/ Large Roof Terrace,112138011,De Pijp - Rivierenbuurt,52.34387,4.89191,Entire Home,223.0,3,9,2020-02-23,0.11,1,0,0,1956.0,$201-500,223.0,False,5.4116460518550396
Amsterdam penthouse with amazing views,169734662,IJburg - Zeeburgereiland,52.35152,5.00107,Entire Home,133.0,2,17,2024-06-06,0.22,1,0,0,391.0,$101 -200,133.0,False,4.897839799950911
comfortable apt. 10mins walking from Rai & musea,42286632,De Pijp - Rivierenbuurt,52.35032,4.89049,Entire Home,223.0,1,29,2024-05-22,0.35,1,0,0,406.0,$201-500,223.0,False,5.4116460518550396
Lovely Family home with garden @ Amsterdam West,4076767,Bos en Lommer,52.37768,4.84698,Entire Home,206.0,2,22,2024-08-13,0.26,1,30,2,323.0,$201-500,6.645161290322581,False,5.332718793265369
Spacious house with 3 bedrooms and patio.,6838978,Watergraafsmeer,52.34426,4.92383,Entire Home,223.0,6,3,2024-08-05,0.09,1,0,2,331.0,$201-500,223.0,False,5.4116460518550396
B&B Studio Old South,6305400,Zuid,52.3527,4.86091,Private Room,284.0,3,111,2025-06-10,1.36,1,358,9,22.0,$201-500,0.7910863509749304,False,5.652489180268651
"Lovely B&B in city center, rustig/private/luxueus",153108798,Centrum-West,52.36832,4.87701,Entire Home,166.0,1,57,2025-06-15,0.68,2,245,39,17.0,$101 -200,0.6747967479674797,False,5.117993812416755
Erasmuspark - Private room very close to center,158029175,Bos en Lommer,52.37683,4.85177,Private Room,223.0,1,26,2020-02-16,0.31,1,0,0,1963.0,$201-500,223.0,False,5.4116460518550396
Exceptional  lake view house for romantic stay,11530541,IJburg - Zeeburgereiland,52.36311,4.9898,Entire Home,223.0,3,20,2025-03-17,0.26,1,23,2,107.0,$201-500,9.291666666666666,False,5.4116460518550396
Cozy apartment next to the Jordaan area,203627746,Westerpark,52.38172,4.87811,Entire Home,223.0,3,13,2022-10-09,0.16,1,0,0,997.0,$201-500,223.0,False,5.4116460518550396
Luxurious gateway to hip Amsterdam,9162576,De Pijp - Rivierenbuurt,52.3518,4.90518,Entire Home,239.0,5,11,2024-09-30,0.13,1,36,2,275.0,$201-500,6.45945945945946,False,5.480638923341991
Newly furnished apartment in center,199450112,Centrum-West,52.36935,4.88303,Private Room,230.0,1,103,2025-03-22,1.3,2,35,6,102.0,$201-500,6.388888888888889,False,5.442417710521793
Great family villa @ Amsterdam Ijburg,86100617,IJburg - Zeeburgereiland,52.35148,4.99762,Entire Home,360.0,4,16,2024-08-17,0.19,1,10,3,319.0,$201-500,32.72727272727273,False,5.8888779583328805
Unique & Modern Family House | 15 min to Center,91590623,IJburg - Zeeburgereiland,52.35560901,4.994067258,Entire Home,223.0,3,10,2024-08-28,0.12,1,12,1,308.0,$201-500,17.153846153846153,False,5.4116460518550396
Amsterdam Center 4 bed appartment canal view,204169513,Westerpark,52.38399,4.88019,Entire Home,223.0,2,8,2020-01-03,0.1,1,0,0,2007.0,$201-500,223.0,False,5.4116460518550396
Amsterdam Studio,4739729,De Aker - Nieuw Sloten,52.34521,4.82021,Private Room,223.0,4,25,2023-08-30,0.3,1,45,0,672.0,$201-500,4.8478260869565215,False,5.4116460518550396
"3BR, garden, 1 stop to city centre/central station",578608,Oud-Noord,52.3928,4.92662,Entire Home,223.0,2,9,2019-08-10,0.11,1,0,0,2153.0,$201-500,223.0,False,5.4116460518550396
Lovely Apartment in Blooming Baarsjes,94921378,Bos en Lommer,52.37328,4.84867,Entire Home,191.0,7,3,2019-05-19,0.04,1,14,0,2236.0,$101 -200,12.733333333333333,False,5.2574953720277815
Spacious & light apt. near park with 2 balconies,124195894,Oud-Oost,52.3587,4.92307,Entire Home,223.0,4,2,2018-08-16,0.02,1,0,0,2512.0,$201-500,223.0,False,5.4116460518550396
Sweets hotel - Theophile de Bockbrug,203731852,Zuid,52.35482,4.85329,Private Room,144.0,1,97,2025-06-05,1.18,23,238,15,27.0,$101 -200,0.602510460251046,False,4.976733742420574
Amsterdam Baarsjes Apartment,8832348,De Baarsjes - Oud-West,52.37078,4.85333,Entire Home,223.0,3,4,2025-04-07,0.31,1,0,3,86.0,$201-500,223.0,False,5.4116460518550396
Spacious family home (2 adults + 2 small kids),20372624,De Baarsjes - Oud-West,52.37226,4.85381,Entire Home,158.0,3,20,2024-09-15,0.24,1,9,1,290.0,$101 -200,15.8,False,5.0689042022202315
Stylish family house North - free parking,205841633,Noord-West,52.42075,4.89596,Entire Home,220.0,5,6,2024-08-03,0.07,1,28,1,333.0,$201-500,7.586206896551724,False,5.3981627015177525
Ruim huis+tuin op het zuiden (30+ & families only),27749179,Oud-Oost,52.35663,4.92413,Entire Home,223.0,4,8,2023-08-15,0.1,1,0,0,687.0,$201-500,223.0,False,5.4116460518550396
Designer apartment 5 minutes from city center,13191184,Oud-Oost,52.35752,4.91158,Entire Home,223.0,3,16,2024-04-01,0.19,1,0,0,457.0,$201-500,223.0,False,5.4116460518550396
Entire apartment Amsterdam nearby Vondel Park,176614331,De Baarsjes - Oud-West,52.36290159,4.855965778,Entire Home,223.0,2,11,2025-06-09,0.74,1,0,7,23.0,$201-500,223.0,False,5.4116460518550396
"Stylish apt, canal view, quiet, nearby Vondelpark",5809919,Zuid,52.35059,4.8469,Entire Home,223.0,7,4,2021-07-18,0.05,1,0,0,1445.0,$201-500,223.0,False,5.4116460518550396
Luxurious canal view appartement,16536809,Oud-Oost,52.36402,4.926,Entire Home,223.0,2,8,2019-10-20,0.1,1,0,0,2082.0,$201-500,223.0,False,5.4116460518550396
Amsterdam IJburg - Modern townhouse at unique spot,3249719,IJburg - Zeeburgereiland,52.35910398,4.979472004,Entire Home,379.0,3,8,2024-10-29,0.35,1,9,4,246.0,$201-500,37.9,True,5.940171252720432
NEW! Renovated apartment with garden,41609885,Oostelijk Havengebied - Indische Buurt,52.36501,4.94223,Entire Home,223.0,5,11,2023-01-29,0.13,1,0,0,885.0,$201-500,223.0,False,5.4116460518550396
3km from Central Station Private Entry | King bed,8741023,Oud-Noord,52.39911,4.90533,Entire Home,93.0,2,383,2025-06-12,4.6,1,261,79,20.0,$51-100,0.3549618320610687,False,4.543294782270004
"Cosy, stylish private studio - free parking",34581928,Noord-West,52.423,4.88658,Private Room,108.0,2,230,2025-06-15,2.8,1,85,42,17.0,$101 -200,1.255813953488372,False,4.6913478822291435
1910's Completely renovated house boat @ Amstel!,207086988,De Pijp - Rivierenbuurt,52.35175,4.90905,Entire Home,223.0,4,18,2022-09-12,0.22,1,0,0,1024.0,$201-500,223.0,False,5.4116460518550396
Amsterdam Woning,88830713,Noord-West,52.40797,4.92397,Entire Home,262.0,3,28,2025-05-31,0.34,1,49,6,32.0,$201-500,5.24,False,5.572154032177765
Nieuw studio-appartement met vintage look.,73081474,Oud-Oost,52.35916,4.93348,Entire Home,223.0,14,16,2023-07-22,0.19,1,0,0,711.0,$201-500,223.0,False,5.4116460518550396
New & spacious ground-floor 3-BR home w/ garden!,207546297,Oud-Oost,52.36434,4.92533,Entire Home,223.0,4,12,2020-08-03,0.14,1,0,0,1794.0,$201-500,223.0,False,5.4116460518550396
Private apt close to Vondelpark! Ideal for couples,6683167,Zuid,52.35048,4.84918,Entire Home,223.0,2,10,2021-07-25,0.12,1,0,0,1438.0,$201-500,223.0,False,5.4116460518550396
Beautiful & clean apartment near the Museumsquare,79666655,Zuid,52.3577919,4.877831936,Entire Home,428.0,2,186,2025-06-15,2.24,1,131,35,17.0,$201-500,3.242424242424242,True,6.061456918928017
B&B op woonboot met gebruik van fietsen.,207977510,Westerpark,52.38266,4.86201,Private Room,80.0,2,230,2025-06-06,2.81,1,11,48,26.0,$51-100,6.666666666666667,False,4.394449154672439
Beautiful appartment nearby the city centre,55023707,Bos en Lommer,52.38259,4.85684,Entire Home,223.0,2,16,2023-09-17,0.22,1,0,0,654.0,$201-500,223.0,False,5.4116460518550396
Anny's warehouse city centre!,115770966,Centrum-West,52.37793,4.89296,Entire Home,240.0,2,44,2025-06-14,0.58,1,36,8,18.0,$201-500,6.486486486486487,False,5.484796933490655
Sunny apartment in Amsterdam north with garden,61134256,Noord-West,52.40243,4.91335,Entire Home,223.0,4,24,2024-09-01,0.29,1,0,3,304.0,$201-500,223.0,False,5.4116460518550396
Modern Two Room Condo with a Rooftop View,44330453,Oud-Noord,52.40056,4.91337,Entire Home,223.0,4,20,2025-01-02,0.24,1,0,2,181.0,$201-500,223.0,False,5.4116460518550396
Boss (double) Apartment (4 pers) - updated photos,31951648,De Baarsjes - Oud-West,52.36684,4.8756,Entire Home,450.0,3,46,2025-06-02,0.62,1,32,8,30.0,$201-500,13.636363636363637,True,6.111467339502679
Amsterdam Appartement 'de Pijp',26109791,De Pijp - Rivierenbuurt,52.3554,4.89439,Entire Home,223.0,7,4,2024-10-28,0.11,1,0,1,247.0,$201-500,223.0,False,5.4116460518550396
Your cosy & quiet apartment close to the Canals,12147206,De Baarsjes - Oud-West,52.36742,4.87611,Entire Home,136.0,2,25,2025-04-06,0.31,1,5,11,87.0,$101 -200,22.666666666666668,False,4.919980925828125
Light-filled & cozy corner apartment in Old West!,67446657,De Baarsjes - Oud-West,52.36289986,4.86304605,Entire Home,223.0,5,1,2024-04-27,0.07,1,0,0,431.0,$201-500,223.0,False,5.4116460518550396
Charming 3-bedroom family house (120m2) & garden,6437689,De Pijp - Rivierenbuurt,52.34438,4.89556,Entire Home,223.0,3,7,2023-10-29,0.09,1,0,0,612.0,$201-500,223.0,False,5.4116460518550396
Double floor appt 10 minutes biking from center,5342880,Bos en Lommer,52.37672249,4.8595224,Entire Home,223.0,4,5,2024-04-06,0.07,1,0,0,452.0,$201-500,223.0,False,5.4116460518550396
Stylish Oasis in Amsterdam,2541713,De Baarsjes - Oud-West,52.36765508,4.871870338,Entire Home,300.0,2,6,2025-04-30,0.4,1,189,3,63.0,$201-500,1.5789473684210527,False,5.707110264748875
Sweets hotel - Buiksloterdraaibrug,203731852,Oud-Noord,52.39893,4.92146,Private Room,312.0,1,53,2024-11-01,0.65,23,0,4,243.0,$201-500,312.0,False,5.746203190540153
SWEETS hotel Scharrebiersluis,203731852,Centrum-Oost,52.37031,4.91141,Hotel Room,195.0,1,30,2024-09-26,0.37,23,236,1,279.0,$101 -200,0.8227848101265823,False,5.278114659230517
207 - Nieuwe Amstelbrug,203731852,De Pijp - Rivierenbuurt,52.3557608,4.9054873,Private Room,163.0,1,43,2024-06-23,0.53,23,221,2,374.0,$101 -200,0.7342342342342343,False,5.099866427824199
Sweets hotel - Westerdoksbrug,203731852,Centrum-West,52.3833277,4.8933458,Private Room,223.0,1,83,2024-12-22,1.01,23,217,6,192.0,$201-500,1.0229357798165137,False,5.4116460518550396
